age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,arms_category,Year
52,M,White,Green,OH,False,other,Not fleeing,False,No Letal,2015
39,F,White,Gillette,WY,False,other,Car,False,No Letal,2015
22,M,Hispanic,El Paso,TX,True,undetermined,Not fleeing,False,Letal,2015
29,M,Black,Ft. Lauderdale,FL,False,attack,Not fleeing,False,No Letal,2015
43,M,White,North Charleston,SC,False,attack,Not fleeing,False,No Letal,2015
24,M,Hispanic,Hackensack,NJ,True,other,Not fleeing,False,No Letal,2015
32,M,Black,Charleston,SC,False,attack,Not fleeing,False,Letal,2015
40,M,White,Somerset,PA,False,attack,Not fleeing,False,No Letal,2015
47,M,White,Sedalia,MO,False,attack,Not fleeing,False,Letal,2015
40,M,White,Eagar,AZ,False,attack,Car,False,Letal,2015
25,M,Black,Detroit,MI,False,attack,Not fleeing,False,Letal,2015
31,F,White,Austin,TX,True,attack,Not fleeing,False,Letal,2015
36,M,Black,Huntsville,AL,True,attack,Not fleeing,False,No Letal,2015
51,M,Black,Queens,NY,False,attack,Not fleeing,False,Letal,2015
24,M,White,Bossier City,LA,False,attack,Not fleeing,False,No Letal,2015
62,M,White,Snohomish,WA,True,attack,Not fleeing,False,Letal,2015
